"variable","skewness"
"IL_6",-0.0519704174005582
"MCP_1",-0.304613502925585
"log_IL6",-1.52014680193139
"log_MCP1",-1.28327773344765
"CVLT_CNG3",-0.321595664964539
"CORT_CNG3",0.660827269309428
