"variable","n","mean","sd"
"IL_6",30,6.50266666666667,2.79256887462785
"MCP_1",30,10.881,2.81342391721032
"CVLT_CNG3",30,-1.39966666666667,1.07880995524709
"CORT_CNG3",30,-4.96,1.41713406758755
