"comparison","r","lower","upper"
"IL_6 vs CVLT_CNG3",-0.258561667252412,-0.566097849999907,0.11215499634943
"IL_6 vs CORT_CNG3",-0.599336613895847,-0.789199811756711,-0.304902770791137
"MCP_1 vs CVLT_CNG3",-0.318358548327683,-0.608801421709866,0.047340367636894
"MCP_1 vs CORT_CNG3",-0.685273018903983,-0.838524887925575,-0.431544767165314
"IL_6 vs MCP_1",0.933555764944477,0.863814486199818,0.968191706160603
"CVLT_CNG3 vs CORT_CNG3",0.155910361910278,-0.216520768343536,0.488727883521792
