"sample_size","rho","method","variable","beta_true","selection_probability","mean_bias","coverage","type_II_error","Method","Scenario"
250,0.35,"Backward p-value","X5",0.833333333333333,1,-0.000430226181478174,0.9346,0,"Backward","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.1se","X1",0.166666666666667,0.9122,-0.0356174662120092,0.8984,0.5954,"EN 1se","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.1se","X2",0.333333333333333,0.9999,-0.0337580195557063,0.93,0.0279,"EN 1se","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.1se","X3",0.5,1,-0.0350202113459758,0.9274,1e-04,"EN 1se","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.1se","X4",0.666666666666667,1,-0.0348587239283365,0.929,0,"EN 1se","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.1se","X5",0.833333333333333,1,-0.0353756949212868,0.922,0,"EN 1se","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.min","X1",0.166666666666667,0.9526,-0.0234906962346801,0.927,0.5464,"EN min","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.min","X2",0.333333333333333,1,-0.0220418382317001,0.9326,0.0247,"EN min","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.min","X3",0.5,1,-0.0234575718902495,0.9328,1e-04,"EN min","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.min","X4",0.666666666666667,1,-0.0232629024640005,0.9327,0,"EN min","N = 250, rho = 0.35"
250,0.35,"Elastic net: lambda.min","X5",0.833333333333333,1,-0.0236490469159074,0.9262,0,"EN min","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.1se","X1",0.166666666666667,0.794,-0.0356825231167453,0.7822,0.5366,"LASSO 1se","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.1se","X2",0.333333333333333,0.9996,-0.024049042151851,0.9307,0.0201,"LASSO 1se","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.1se","X3",0.5,1,-0.0252546173745475,0.9292,0,"LASSO 1se","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.1se","X4",0.666666666666667,1,-0.0249246857051226,0.9328,0,"LASSO 1se","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.1se","X5",0.833333333333333,1,-0.0253193817696407,0.9247,0,"LASSO 1se","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.min","X1",0.166666666666667,0.9356,-0.0253420855550841,0.917,0.5505,"LASSO min","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.min","X2",0.333333333333333,1,-0.023564338511023,0.9293,0.0247,"LASSO min","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.min","X3",0.5,1,-0.0249572124975971,0.9319,1e-04,"LASSO min","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.min","X4",0.666666666666667,1,-0.0246489286497104,0.9307,0,"LASSO min","N = 250, rho = 0.35"
250,0.35,"LASSO: lambda.min","X5",0.833333333333333,1,-0.0250855456849067,0.9249,0,"LASSO min","N = 250, rho = 0.35"
250,0.7,"Backward AIC","X1",0.166666666666667,0.5496,-0.0310397902747161,0.517,0.6573,"AIC","N = 250, rho = 0.7"
250,0.7,"Backward AIC","X2",0.333333333333333,0.937,-0.0038213648065647,0.8958,0.1459,"AIC","N = 250, rho = 0.7"
250,0.7,"Backward AIC","X3",0.5,0.999,0.00138780527746244,0.9375,0.0061,"AIC","N = 250, rho = 0.7"
250,0.7,"Backward AIC","X4",0.666666666666667,0.9999,0.0034251347224587,0.9355,1e-04,"AIC","N = 250, rho = 0.7"
250,0.7,"Backward AIC","X5",0.833333333333333,1,0.00435098619159105,0.9328,0,"AIC","N = 250, rho = 0.7"
250,0.7,"Backward BIC","X1",0.166666666666667,0.2353,-0.0923193779952924,0.1976,0.7647,"BIC","N = 250, rho = 0.7"
250,0.7,"Backward BIC","X2",0.333333333333333,0.7995,-0.0230624273126589,0.752,0.2005,"BIC","N = 250, rho = 0.7"
250,0.7,"Backward BIC","X3",0.5,0.9897,0.0168094633633825,0.9273,0.0103,"BIC","N = 250, rho = 0.7"
250,0.7,"Backward BIC","X4",0.666666666666667,0.9998,0.0211246046169082,0.9231,2e-04,"BIC","N = 250, rho = 0.7"
250,0.7,"Backward BIC","X5",0.833333333333333,1,0.0218933982870909,0.9231,0,"BIC","N = 250, rho = 0.7"
250,0.7,"Backward p-value","X1",0.166666666666667,0.6751,-0.0149448316521825,0.6373,0.6702,"Backward","N = 250, rho = 0.7"
250,0.7,"Backward p-value","X2",0.333333333333333,0.9655,-0.00112640266226704,0.9223,0.1604,"Backward","N = 250, rho = 0.7"
250,0.7,"Backward p-value","X3",0.5,0.9997,-0.000344480298984706,0.9397,0.0072,"Backward","N = 250, rho = 0.7"
250,0.7,"Backward p-value","X4",0.666666666666667,0.9999,0.00148917123029795,0.9363,2e-04,"Backward","N = 250, rho = 0.7"
250,0.7,"Backward p-value","X5",0.833333333333333,1,0.00226602747643034,0.9365,0,"Backward","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.1se","X1",0.166666666666667,0.8837,-0.050941289774609,0.8769,0.8527,"EN 1se","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.1se","X2",0.333333333333333,0.9967,-0.0593533230024095,0.9224,0.3258,"EN 1se","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.1se","X3",0.5,1,-0.0612222425975128,0.9255,0.0282,"EN 1se","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.1se","X4",0.666666666666667,1,-0.0590062092281599,0.9278,5e-04,"EN 1se","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.1se","X5",0.833333333333333,1,-0.0578743881648108,0.9276,0,"EN 1se","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.min","X1",0.166666666666667,0.8531,-0.0380305375901182,0.8397,0.8077,"EN min","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.min","X2",0.333333333333333,0.9948,-0.0456648045821111,0.9209,0.2885,"EN min","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.min","X3",0.5,1,-0.0475577377145176,0.924,0.0235,"EN min","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.min","X4",0.666666666666667,1,-0.0457664321512166,0.9256,5e-04,"EN min","N = 250, rho = 0.7"
250,0.7,"Elastic net: lambda.min","X5",0.833333333333333,1,-0.0450596329764878,0.9266,0,"EN min","N = 250, rho = 0.7"
