"n","rho","method","variable","true_positive_rate","type_II_error"
500,0,"Elastic Net lambda.min","X4",1,0
500,0,"Elastic Net lambda.min","X5",1,0
500,0,"LASSO lambda.1se","X1",0.8223,0.1777
500,0,"LASSO lambda.1se","X2",1,0
500,0,"LASSO lambda.1se","X3",1,0
500,0,"LASSO lambda.1se","X4",1,0
500,0,"LASSO lambda.1se","X5",1,0
500,0,"LASSO lambda.min","X1",0.9958,0.00419999999999998
500,0,"LASSO lambda.min","X2",1,0
500,0,"LASSO lambda.min","X3",1,0
500,0,"LASSO lambda.min","X4",1,0
500,0,"LASSO lambda.min","X5",1,0
500,0.35,"AIC","X1",0.9566,0.0434
500,0.35,"AIC","X2",1,0
500,0.35,"AIC","X3",1,0
500,0.35,"AIC","X4",1,0
500,0.35,"AIC","X5",1,0
500,0.35,"BIC","X1",0.7639,0.2361
500,0.35,"BIC","X2",0.9999,9.9999999999989e-05
500,0.35,"BIC","X3",1,0
500,0.35,"BIC","X4",1,0
500,0.35,"BIC","X5",1,0
500,0.35,"Backward p-value","X1",0.9805,0.0195
500,0.35,"Backward p-value","X2",1,0
500,0.35,"Backward p-value","X3",1,0
500,0.35,"Backward p-value","X4",1,0
500,0.35,"Backward p-value","X5",1,0
500,0.35,"Elastic Net lambda.1se","X1",0.99,0.01
500,0.35,"Elastic Net lambda.1se","X2",1,0
500,0.35,"Elastic Net lambda.1se","X3",1,0
500,0.35,"Elastic Net lambda.1se","X4",1,0
500,0.35,"Elastic Net lambda.1se","X5",1,0
500,0.35,"Elastic Net lambda.min","X1",0.996,0.004
500,0.35,"Elastic Net lambda.min","X2",1,0
500,0.35,"Elastic Net lambda.min","X3",1,0
500,0.35,"Elastic Net lambda.min","X4",1,0
500,0.35,"Elastic Net lambda.min","X5",1,0
500,0.35,"LASSO lambda.1se","X1",0.9499,0.0501
500,0.35,"LASSO lambda.1se","X2",1,0
500,0.35,"LASSO lambda.1se","X3",1,0
500,0.35,"LASSO lambda.1se","X4",1,0
500,0.35,"LASSO lambda.1se","X5",1,0
500,0.35,"LASSO lambda.min","X1",0.994,0.00600000000000001
500,0.35,"LASSO lambda.min","X2",1,0
500,0.35,"LASSO lambda.min","X3",1,0
500,0.35,"LASSO lambda.min","X4",1,0
500,0.35,"LASSO lambda.min","X5",1,0
500,0.7,"AIC","X1",0.7635,0.2365
500,0.7,"AIC","X2",0.9965,0.00349999999999995
500,0.7,"AIC","X3",1,0
