Model,N,R2,Adj_R2,RMSE
Viral Load (Adj),463,0.1706,0.156,1.1195
CD4 (Adj),463,0.5639,0.5562,176.3097
Physical QOL (Adj),463,0.4298,0.4197,7.6947
Mental QOL (Adj),463,0.3336,0.3219,9.7476
Viral Load (Adj + Adh),463,0.1817,0.1655,1.112
CD4 (Adj + Adh),463,0.5676,0.5591,175.554
Physical QOL (Adj + Adh),463,0.4338,0.4226,7.6672
Mental QOL (Adj + Adh),463,0.3369,0.3237,9.7241
